GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2401506-003,015,06-003,826,0,45,51,41,112,150,174,117,45,17,167,487,166,1,4,0,0,0,1,0,718,13,1,8,10,76,718,1,13,3,2,1,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,76,629,294,294,458,107,0,0,555,249,249,0,343,148,0,0,469,116,116,329,162
2401507-001,015,07-001,2948,0,135,193,199,387,518,648,419,177,42,717,1511,656,19,17,7,3,1,17,0,2487,60,54,27,35,285,2487,54,60,8,10,3,4,13,7,0,4,2,2,3,4,0,0,0,0,0,0,0,1,0,285,2072,967,967,1592,413,0,0,1877,914,914,0,1235,435,0,1,1627,354,354,1128,456
2401507-002,015,07-002,3572,0,138,251,249,485,538,764,480,229,82,1290,1475,751,10,19,7,1,1,18,0,2860,116,208,44,36,308,2860,208,116,15,11,16,3,10,0,0,8,1,0,3,4,0,5,1,0,0,0,1,0,0,308,2369,1030,1030,1743,477,0,0,2116,976,976,0,1300,518,0,1,1796,400,400,1272,539
2401507-003,015,07-003,898,0,29,59,83,117,103,196,149,56,21,274,396,207,1,8,3,0,0,9,0,690,25,78,2,7,96,690,78,25,2,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,96,563,271,271,433,124,0,0,489,240,240,0,309,115,0,0,429,109,109,290,125
2401507-004,015,07-004,406,0,20,26,34,44,59,89,68,26,10,101,216,88,0,1,0,0,0,0,0,362,7,1,2,1,33,362,1,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,281,117,117,192,67,0,0,230,120,120,0,156,75,0,1,186,62,62,145,61
2401508-001,015,08-001,2813,0,97,170,188,363,530,556,388,192,67,546,1606,617,10,10,3,2,0,19,0,2488,35,24,13,18,235,2488,24,35,6,4,1,3,5,0,0,2,0,1,3,3,0,1,0,0,1,1,0,0,0,235,1892,798,798,1411,308,0,0,1699,791,791,0,1035,362,0,1,1467,357,357,1028,407
2401509-001,015,09-001,1967,0,89,116,136,268,305,417,277,139,54,451,1130,356,7,12,1,1,0,9,0,1789,39,7,10,5,117,1789,6,39,6,4,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,117,1471,773,773,1128,357,0,0,1311,680,680,0,839,359,0,0,1111,353,353,841,412
2401509-002,015,09-002,1662,1,69,106,119,253,284,302,244,105,31,400,877,346,11,13,1,0,0,14,0,1463,24,9,22,15,129,1463,9,24,8,3,2,1,4,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,129,1208,515,515,850,200,0,0,1061,480,480,0,601,243,0,0,873,226,226,606,237
2401701-001,017,01-001,3208,0,162,247,247,491,564,513,335,225,82,1832,761,575,6,11,5,0,0,18,0,1634,121,1126,73,42,212,1634,1121,121,20,21,36,9,1,5,0,1,6,1,1,3,0,0,2,5,0,2,0,0,0,212,2377,1090,1090,1618,664,0,0,1912,868,868,0,1145,619,0,0,1693,336,336,1052,534
2401701-002,017,01-002,2660,0,114,177,165,328,419,587,381,212,66,1062,1063,501,6,4,3,2,0,19,0,1919,66,407,40,30,198,1919,405,60,5,12,21,2,7,8,0,0,2,1,0,1,6,2,1,2,0,1,1,1,1,198,2085,931,931,1549,635,0,0,1750,837,837,0,1205,588,0,0,1577,329,329,1139,562
2401701-003,017,01-003,3608,1,172,274,262,562,574,699,449,189,82,1688,1196,682,4,11,5,2,2,18,0,2374,139,729,68,49,249,2374,726,135,20,10,28,8,9,7,3,5,9,1,3,0,4,1,4,3,0,0,0,3,0,249,2763,1286,1286,1953,729,2,0,2308,1018,1018,0,1442,743,0,0,2046,387,387,1338,673
2401701-004,017,01-004,2617,0,112,162,192,370,415,502,362,223,64,1020,1024,539,6,12,4,0,0,12,0,1953,83,297,35,49,200,1953,295,83,11,19,7,9,10,4,1,2,8,2,1,3,0,1,1,2,1,1,1,0,0,200,2058,905,905,1468,569,0,0,1701,771,771,0,1160,575,0,0,1542,306,306,1025,544
