GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2451013-006,510,13-006,584,0,13,48,59,91,91,127,72,25,13,478,18,84,0,1,0,0,0,3,0,34,16,514,7,6,7,34,513,15,2,3,3,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,7,299,216,216,234,106,0,0,296,180,180,0,161,102,0,0,309,71,71,171,85
2451013-007,510,13-007,1226,1,36,129,133,202,156,209,168,63,34,1033,38,134,1,3,0,4,0,13,0,39,24,1142,9,5,7,39,1141,24,2,3,6,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,572,366,366,407,218,0,0,586,350,350,0,303,173,0,0,575,106,106,310,124
2451013-008,510,13-008,1584,0,60,119,148,273,229,328,198,63,32,1331,49,178,2,4,4,2,1,13,0,124,30,1364,13,19,34,124,1363,30,3,11,5,0,1,5,0,0,3,0,2,1,0,0,1,1,0,0,0,0,0,34,906,657,657,719,407,0,0,853,559,559,0,500,285,0,0,832,173,173,498,231
2451013-009,510,13-009,973,0,28,77,109,197,133,186,103,33,19,822,27,107,2,2,3,1,0,9,0,81,12,835,5,14,26,81,835,12,1,8,2,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,552,399,399,399,190,0,0,469,264,264,0,286,156,0,0,491,88,88,253,110
2451013-010,510,13-010,1498,0,41,113,131,283,228,278,192,81,28,1253,44,179,1,3,1,4,1,12,0,202,24,1195,11,19,47,202,1194,24,3,11,5,3,4,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,47,929,657,657,703,337,0,0,824,550,550,0,496,266,0,0,782,144,144,468,204
2451013-011,510,13-011,2008,0,33,145,381,535,261,205,169,62,27,1493,170,314,2,9,10,0,1,9,0,1466,75,69,42,49,307,1466,69,70,21,15,7,4,19,5,2,2,2,0,5,0,5,1,2,0,3,0,1,0,1,307,1582,1014,1014,1211,563,0,0,1210,725,725,0,583,287,0,0,949,103,103,561,201
2451013-012,510,13-012,1470,0,22,93,249,366,222,173,143,76,23,1108,124,214,1,2,6,1,4,10,0,1117,53,25,42,31,202,1117,25,51,15,16,14,6,8,3,1,4,2,1,2,0,2,0,0,0,0,0,0,0,0,202,1170,819,819,982,454,0,0,953,634,634,0,522,278,0,0,740,118,118,493,210
2451013-013,510,13-013,90,0,1,6,16,24,15,12,9,3,0,71,7,11,0,1,0,0,0,0,0,74,2,0,1,5,8,74,0,2,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,8,75,55,55,58,35,0,0,56,40,40,0,33,14,0,0,53,7,7,28,16
2451014-001,510,14-001,832,0,31,88,78,136,83,106,107,68,26,678,31,112,2,3,2,1,0,3,0,372,32,263,59,17,89,372,263,32,18,8,10,24,4,2,0,3,1,1,0,0,0,0,2,0,0,0,0,0,2,89,549,364,364,443,215,0,0,455,306,306,0,246,129,0,0,366,75,75,231,115
2451014-002,510,14-002,724,0,21,40,75,95,78,92,139,87,31,618,20,78,0,0,2,0,1,5,0,256,12,369,16,18,53,256,369,12,5,8,4,6,4,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,53,503,381,381,398,243,0,0,442,318,318,0,276,173,0,0,386,104,104,264,128
2451014-003,510,14-003,772,0,42,88,98,139,117,95,67,23,10,640,29,93,0,1,2,0,0,7,0,47,14,680,6,13,12,47,680,14,0,11,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,354,216,216,220,97,0,0,326,188,188,0,157,64,0,0,335,49,49,161,64
2451014-004,510,14-004,2130,0,61,193,227,355,277,366,308,105,38,1788,84,219,3,4,6,2,0,24,0,323,43,1636,29,40,59,323,1636,42,7,24,8,11,8,1,2,1,0,2,2,0,1,0,1,0,0,0,0,1,0,59,1146,829,829,890,435,0,0,1088,646,646,0,559,319,0,0,1018,168,168,516,234
2451014-005,510,14-005,560,0,30,45,45,86,83,94,77,31,6,462,23,71,0,0,0,0,1,3,0,117,7,396,6,10,24,117,395,7,3,9,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,249,161,161,179,80,0,0,242,144,144,0,137,65,0,0,229,32,32,139,56
2451015-001,510,15-001,1389,0,43,113,98,216,212,258,183,83,61,1194,41,138,1,2,2,0,0,11,0,82,24,1242,10,8,23,82,1240,24,3,5,2,1,3,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,23,802,585,585,606,321,0,0,740,450,450,0,468,240,0,0,763,187,187,483,202
2451015-002,510,15-002,854,0,23,64,69,143,120,170,105,53,31,743,26,74,1,1,0,1,1,7,0,71,18,741,3,2,19,71,741,18,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,519,396,396,363,205,0,0,466,282,282,0,251,162,0,0,451,111,111,263,137
2451015-003,510,15-003,2162,0,68,147,193,329,251,428,327,152,117,1883,61,202,2,3,0,0,0,11,0,78,31,1994,11,19,29,78,1992,31,3,10,1,1,4,0,1,6,0,2,0,0,0,0,0,2,1,0,0,0,0,29,1324,999,999,1001,519,0,0,1237,786,786,0,767,427,0,0,1255,306,306,814,350
2451015-004,510,15-004,739,1,31,52,65,123,101,128,103,56,26,635,27,65,1,2,1,3,0,5,0,76,16,617,4,12,14,76,617,16,0,7,4,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14,450,344,344,339,179,0,0,429,274,274,0,256,135,0,0,444,93,93,277,120
2451015-005,510,15-005,1206,0,52,97,115,178,179,203,153,83,64,1035,35,128,0,1,1,1,0,5,0,69,22,1085,6,7,17,69,1085,22,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,827,628,628,656,363,0,0,749,516,516,0,495,319,0,0,727,212,212,486,245
2451015-006,510,15-006,1623,0,60,127,152,265,210,305,231,97,73,1408,41,148,0,3,1,0,0,22,0,61,25,1497,4,8,28,61,1497,25,2,4,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,28,966,701,701,757,364,0,0,925,599,599,0,557,303,0,0,931,219,219,576,257
2451015-007,510,15-007,1361,0,64,117,140,211,179,254,160,70,41,1159,44,139,1,5,0,0,1,12,0,69,20,1229,4,10,29,69,1227,20,1,7,2,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,29,772,539,539,579,249,0,0,728,447,447,0,414,222,0,0,731,143,143,412,180
2451015-008,510,15-008,688,0,22,46,59,87,110,130,100,44,39,595,20,67,2,0,0,0,0,4,0,41,5,617,8,3,14,41,617,5,3,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,504,374,374,399,229,0,0,449,312,312,0,308,194,0,0,440,135,135,319,166
2451015-009,510,15-009,2389,1,93,181,204,396,301,426,350,143,103,2078,69,217,2,4,1,1,1,16,0,124,46,2137,16,29,37,124,2135,46,2,24,10,0,0,3,2,0,0,1,1,0,0,0,0,2,1,0,0,0,1,37,1286,898,898,944,433,0,0,1204,749,749,0,717,362,0,0,1268,288,288,753,338
2451015-010,510,15-010,1349,0,57,95,104,191,197,241,208,88,66,1148,49,135,1,2,1,1,1,11,0,71,30,1195,13,15,25,71,1194,30,2,6,6,3,3,2,1,0,0,0,0,1,0,1,1,1,0,0,0,2,0,25,815,566,566,620,330,0,0,747,468,468,0,490,256,0,0,736,179,179,485,211
2451015-011,510,15-011,1230,0,43,92,126,185,193,222,155,47,43,1025,37,147,2,2,2,1,1,13,0,54,25,1115,4,13,19,54,1113,24,1,10,2,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,19,655,446,446,477,219,0,0,595,341,341,0,336,179,0,0,633,109,109,363,152
2451015-012,510,15-012,260,0,12,16,25,38,38,43,34,14,10,213,5,36,1,1,1,0,0,3,0,16,2,230,0,8,4,16,230,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,103,73,73,73,28,0,0,110,52,52,0,47,26,0,0,120,27,27,62,22
2451015-013,510,15-013,735,0,24,55,81,110,104,141,97,31,21,627,26,72,0,3,2,0,0,5,0,49,15,643,6,6,16,49,643,15,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,16,347,240,240,234,105,0,0,323,181,181,0,179,80,0,0,343,63,63,177,66
2451015-014,510,15-014,1267,0,48,91,100,205,149,231,211,89,59,1111,31,113,0,4,0,0,1,7,0,55,17,1168,6,7,14,55,1167,15,2,6,2,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,14,729,500,500,544,250,0,0,668,444,444,0,381,199,0,0,703,158,158,435,175
2451015-015,510,15-015,597,0,16,49,41,124,77,127,67,26,14,513,21,56,0,0,1,1,0,5,0,18,13,553,4,6,3,18,553,13,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,268,156,156,165,73,0,0,246,142,142,0,124,54,0,0,263,41,41,134,58
2451015-016,510,15-016,654,0,25,51,64,107,89,124,78,40,24,559,21,65,1,0,2,2,0,4,0,20,7,611,1,2,13,20,610,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,326,234,234,222,99,0,0,305,189,189,0,171,85,0,0,319,54,54,184,74
2451015-017,510,15-017,1423,1,48,131,152,247,209,248,163,72,44,1198,50,158,0,2,1,0,1,13,0,46,19,1317,4,15,22,46,1315,19,1,12,1,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,22,655,430,430,462,240,0,0,659,377,377,0,371,184,0,0,689,116,116,371,167
2451015-018,510,15-018,2453,0,83,204,294,393,379,487,280,95,40,2069,85,268,1,0,5,4,1,20,0,99,27,2264,19,18,26,99,2263,27,10,11,8,0,4,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,26,1058,723,723,707,274,0,0,1086,622,622,0,538,234,0,0,1169,152,152,561,179
2451015-019,510,15-019,69,0,1,6,5,7,6,14,16,7,0,62,2,5,0,0,0,0,0,0,0,2,0,66,0,1,0,2,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,26,26,9,0,0,35,23,23,0,19,9,0,0,37,6,6,26,12
2451015-020,510,15-020,2147,0,82,191,199,313,256,412,292,147,94,1830,76,217,2,4,1,2,1,14,0,188,31,1837,15,22,54,188,1836,31,4,16,7,3,1,0,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,54,1049,752,752,741,358,0,0,1042,625,625,0,541,306,0,0,1040,194,194,572,250
2451015-021,510,15-021,1027,0,34,67,94,147,139,204,133,91,63,880,32,100,0,2,1,1,0,11,0,51,10,936,4,9,17,51,934,10,3,7,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,580,413,413,432,204,0,0,560,355,355,0,334,181,0,0,571,135,135,336,139
2451015-022,510,15-022,922,0,37,69,119,164,129,161,85,50,32,759,38,107,0,1,1,0,0,16,0,52,13,834,7,1,15,52,833,13,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15,385,285,285,275,112,0,0,406,225,225,0,213,98,0,0,430,66,66,233,78
2451015-023,510,15-023,1811,0,58,126,135,253,234,363,302,116,74,1561,65,164,1,3,5,3,0,9,0,79,21,1643,17,20,31,79,1643,21,4,14,8,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,31,882,625,625,634,330,0,0,894,524,524,0,492,266,0,0,923,181,181,506,197
2451015-024,510,15-024,1679,0,52,119,186,269,201,293,229,116,58,1435,57,155,3,3,4,7,0,15,0,54,37,1544,11,8,25,54,1544,36,2,5,8,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,835,585,585,568,271,0,0,798,472,472,0,432,236,0,0,855,162,162,476,193
2451015-025,510,15-025,741,0,22,68,64,101,103,145,102,39,20,618,32,86,0,0,2,1,0,2,0,60,10,646,4,4,17,60,645,9,0,1,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,17,293,194,194,184,96,0,0,284,156,156,0,152,73,0,0,316,42,42,166,52
2451016-001,510,16-001,677,0,27,50,72,123,98,130,76,26,10,580,17,68,1,0,1,0,0,10,0,24,9,624,4,4,12,24,624,9,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,12,302,222,222,224,89,0,0,318,182,182,0,155,70,0,0,332,56,56,178,65
2451016-002,510,16-002,1051,0,22,69,120,171,146,194,188,57,23,904,40,96,0,3,0,1,0,7,0,47,17,957,11,7,12,47,957,17,4,3,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,485,362,362,345,174,0,0,488,304,304,0,261,138,0,0,541,107,107,275,129
2451016-003,510,16-003,723,0,22,57,86,96,96,131,99,40,31,614,25,66,1,4,1,1,1,10,0,25,3,671,7,9,8,25,670,2,3,7,3,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,289,198,198,209,84,0,0,285,181,181,0,163,91,0,0,318,49,49,171,72
2451016-004,510,16-004,484,0,18,56,40,82,80,90,60,15,12,392,28,59,0,0,0,0,0,5,0,24,10,442,2,4,2,24,442,10,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,185,128,128,124,62,0,0,207,101,101,0,101,50,0,0,203,24,24,102,48
2451016-005,510,16-005,1515,1,53,101,155,255,196,310,188,76,72,1272,67,153,2,1,0,5,0,15,0,54,25,1387,11,20,18,54,1386,25,2,18,4,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18,752,512,512,519,247,0,0,721,450,450,0,408,214,0,0,750,126,126,440,212
2451016-006,510,16-006,1471,0,73,130,140,225,178,253,225,65,70,1284,55,116,0,2,3,1,0,10,0,69,22,1350,4,10,16,69,1349,22,1,7,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,16,782,524,524,534,250,0,0,743,471,471,0,425,220,0,0,753,143,143,422,196
2451016-007,510,16-007,1250,0,50,102,132,193,167,242,152,84,46,1098,33,108,1,1,1,1,0,7,0,53,19,1161,9,4,4,53,1161,19,4,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,635,475,475,470,220,0,0,642,394,394,0,359,208,0,0,638,143,143,393,148
2451016-008,510,16-008,832,0,27,90,72,121,114,149,113,58,34,717,30,74,1,0,0,2,0,8,0,29,14,768,5,10,6,29,768,14,2,7,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,430,325,325,321,154,0,0,420,273,273,0,241,132,0,0,428,99,99,252,124
2451016-009,510,16-009,1258,0,42,86,121,208,171,243,190,50,56,1070,47,124,1,1,2,1,0,12,0,44,15,1176,6,3,14,44,1174,15,1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,582,406,406,423,221,0,0,638,381,381,0,327,179,0,0,624,114,114,358,138
2451016-010,510,16-010,753,0,26,60,71,132,98,143,89,33,44,656,19,71,2,1,0,0,0,4,0,21,14,701,3,4,10,21,699,14,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,10,346,234,234,247,101,0,0,355,206,206,0,195,89,0,0,392,48,48,213,73
2451016-011,510,16-011,733,1,24,61,74,116,112,135,83,34,33,626,30,67,0,1,0,1,1,7,0,23,16,676,6,7,5,23,674,16,2,4,3,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,5,376,243,243,250,103,0,0,356,223,223,0,211,103,0,0,383,64,64,214,80
2451016-012,510,16-012,1431,0,63,132,167,253,192,230,162,67,44,1232,47,128,1,2,1,1,1,18,0,72,24,1304,3,10,18,72,1303,24,2,7,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,718,510,510,538,242,0,0,712,446,446,0,411,207,0,0,748,127,127,435,163
2451016-013,510,16-013,1500,1,73,132,140,270,188,246,180,82,64,1303,41,141,1,0,0,0,0,14,0,62,21,1389,9,7,12,62,1388,21,3,7,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,776,550,550,532,252,0,0,778,474,474,0,393,196,0,0,784,155,155,453,188
2451016-014,510,16-014,2721,1,95,215,279,428,372,486,315,216,124,2392,80,224,2,4,2,3,2,12,0,194,34,2409,21,15,48,194,2409,34,4,9,11,4,1,1,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,48,1591,1229,1229,1163,541,0,0,1521,971,971,0,906,490,0,0,1542,343,343,987,417
2451017-001,510,17-001,179,0,9,11,22,31,21,25,20,12,2,144,7,23,0,0,1,0,0,4,0,7,4,162,3,1,2,7,162,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,89,53,53,48,21,0,0,68,49,49,0,36,16,0,0,76,22,22,48,18
2451017-002,510,17-002,2632,0,96,210,269,413,383,486,309,134,70,2200,103,282,0,5,5,6,1,30,0,281,48,2150,30,32,91,281,2149,48,6,27,14,4,2,4,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,91,1339,849,849,868,354,0,0,1217,729,729,0,597,295,0,0,1229,187,187,615,232
2451018-001,510,18-001,1033,0,33,107,151,185,140,212,96,21,10,859,39,120,1,0,3,0,1,10,0,46,14,948,7,7,11,46,948,14,2,5,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11,432,321,321,327,129,0,0,495,284,284,0,232,119,0,0,516,75,75,259,106
2451018-002,510,18-002,1534,0,45,142,189,302,191,256,156,61,19,1167,93,250,3,4,8,1,0,8,0,256,52,1084,47,21,74,256,1081,52,21,16,12,7,2,4,1,2,0,0,1,0,0,0,1,3,0,0,0,0,0,74,740,444,444,543,237,0,0,654,369,369,0,309,170,0,0,585,66,66,282,107
2451019-001,510,19-001,1089,0,39,90,111,174,174,217,117,60,20,934,34,111,3,0,1,0,0,6,0,70,19,964,7,7,22,70,964,19,1,7,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,496,330,330,370,156,0,0,546,306,306,0,281,134,0,0,534,85,85,300,114
2451019-002,510,19-002,1752,0,48,153,207,341,292,291,156,51,18,1274,143,298,2,6,5,4,0,20,0,442,53,1115,33,28,81,442,1115,52,5,24,4,5,3,15,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,81,738,439,439,496,229,0,0,686,383,383,0,321,169,0,0,656,84,84,313,122
2451019-003,510,19-003,182,0,2,13,11,21,11,40,46,13,11,154,8,19,1,0,0,0,0,0,0,19,3,157,1,0,2,19,157,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,61,61,57,25,0,0,78,46,46,0,46,28,0,0,83,13,13,43,20
2451020-001,510,20-001,1385,0,48,105,130,229,197,249,178,72,59,1191,49,130,0,0,0,0,0,15,0,86,20,1234,10,12,23,86,1234,20,3,9,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,618,438,438,454,205,0,0,622,390,390,0,345,196,0,0,659,123,123,374,166
2451020-002,510,20-002,702,0,32,66,78,127,102,127,73,27,4,544,30,109,3,1,1,1,0,13,0,76,13,582,5,7,19,76,582,13,1,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,281,167,167,181,53,0,0,274,129,129,0,142,67,0,0,281,45,45,139,45
2451020-003,510,20-003,1565,0,60,135,148,271,201,263,189,99,77,1361,52,135,1,2,1,2,1,10,0,66,24,1429,8,15,23,66,1429,24,1,12,5,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,711,490,490,425,172,0,0,702,381,381,0,372,196,0,0,729,132,132,386,154
2451020-004,510,20-004,202,0,7,15,24,35,27,32,34,12,5,174,7,19,0,0,0,0,0,2,0,5,1,190,1,1,4,5,190,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,118,81,81,76,44,0,0,114,76,76,0,59,31,0,0,117,18,18,68,26
2451020-005,510,20-005,911,0,36,70,67,148,140,162,105,55,57,780,26,96,0,1,1,1,0,6,0,33,15,848,5,2,8,33,848,15,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,445,316,316,317,141,0,0,452,281,281,0,253,128,0,0,450,77,77,255,113
2451020-006,510,20-006,2626,0,90,203,218,429,316,500,364,170,162,2307,57,232,1,4,3,1,0,21,0,160,31,2348,13,19,55,160,2346,31,1,17,7,1,1,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,55,1419,1043,1043,1054,507,0,0,1401,871,871,0,841,442,0,0,1483,287,287,886,380
2451020-007,510,20-007,2103,0,77,161,180,326,273,404,303,140,88,1778,78,220,3,3,1,2,1,17,0,134,45,1867,9,16,32,134,1864,45,2,12,4,2,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,32,1160,848,848,853,416,0,0,1115,644,644,0,640,332,0,0,1116,217,217,679,328
2451020-008,510,20-008,632,0,20,64,62,96,99,123,81,20,11,506,29,80,3,2,2,4,1,5,0,55,13,542,11,2,9,55,542,13,3,1,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,333,220,220,234,102,0,0,302,157,157,0,154,69,0,0,308,40,40,177,72
2451020-009,510,20-009,597,0,21,54,73,117,96,97,72,18,7,400,72,104,1,4,5,0,0,11,0,238,14,287,9,9,40,238,287,14,1,5,2,2,1,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,40,271,141,141,177,60,0,0,264,131,131,0,126,47,0,0,250,29,29,125,42
2451020-010,510,20-010,468,0,17,30,38,81,62,85,66,36,11,334,48,79,1,0,1,1,0,4,0,118,13,305,10,3,19,118,305,13,0,3,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,187,111,111,87,34,0,0,185,77,77,0,81,46,0,0,182,28,28,93,33
2451020-011,510,20-011,1214,0,45,113,172,223,191,192,97,29,10,897,108,178,0,6,5,2,0,18,0,259,21,857,23,23,31,259,857,21,4,12,3,0,2,16,0,0,0,3,1,1,0,0,0,0,0,0,0,2,0,31,380,210,210,229,70,0,0,391,207,207,0,166,71,0,0,419,44,44,168,68
2451021-001,510,21-001,766,0,25,156,139,144,60,55,24,17,4,512,60,185,2,4,1,0,0,2,0,404,29,123,61,56,93,404,123,29,23,30,15,12,6,8,10,3,1,0,2,1,0,0,0,0,0,0,0,1,0,93,525,244,244,344,111,0,0,326,164,164,0,128,75,0,0,215,32,32,125,54
2451021-002,510,21-002,1398,0,30,161,218,273,142,197,127,65,17,1047,85,237,1,9,7,0,0,12,0,374,64,766,72,32,90,374,764,64,30,17,15,14,5,11,1,1,1,2,1,2,0,1,2,2,0,0,1,0,0,90,924,551,551,669,284,0,0,759,440,440,0,373,183,0,0,620,97,97,348,135
2451021-003,510,21-003,1759,1,68,176,241,375,263,264,115,48,22,1281,147,292,0,9,9,2,1,18,0,514,51,1035,59,20,80,514,1035,51,8,18,10,4,1,31,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,80,907,541,541,667,246,0,0,807,437,437,0,372,157,0,0,724,82,82,323,116
2451021-004,510,21-004,445,0,6,58,76,94,62,67,31,4,2,310,49,79,0,3,1,0,0,3,0,141,25,234,4,8,33,141,234,25,0,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,289,158,158,209,83,0,0,228,127,127,0,117,45,0,0,195,17,17,105,30
2451022-001,510,22-001,1195,0,17,105,123,117,58,119,255,165,78,800,167,215,4,3,3,0,0,3,0,743,40,152,55,44,161,743,152,38,20,24,19,10,5,3,4,3,3,2,2,1,2,0,0,0,0,0,0,0,0,161,894,520,520,625,308,0,0,632,392,392,0,401,259,0,0,540,167,167,387,221
2451022-002,510,22-002,1435,0,34,158,135,261,155,234,192,118,12,996,195,235,0,2,0,0,0,7,0,1026,47,55,61,34,212,1026,54,45,28,11,12,10,12,2,0,6,5,0,3,0,2,1,1,1,0,1,1,0,0,212,1142,767,767,868,430,0,0,877,573,573,0,534,328,0,0,717,145,145,529,262
2451023-001,510,23-001,1235,0,57,260,199,197,152,85,61,22,14,730,233,252,2,11,5,0,0,2,0,941,44,50,32,33,135,941,49,44,7,12,13,3,10,5,1,4,1,1,2,1,0,2,1,1,1,0,0,0,0,135,846,424,424,554,190,0,0,561,304,304,0,227,116,0,0,356,49,49,225,91
2451023-002,510,23-002,1102,0,43,193,153,192,115,135,73,23,11,742,143,201,1,7,2,0,1,5,0,531,31,384,24,26,106,531,382,31,6,8,9,2,7,5,1,2,1,1,2,4,0,0,1,2,0,0,0,0,0,106,719,353,353,479,156,0,0,504,277,277,0,226,100,0,0,403,53,53,226,99
2451023-003,510,23-003,2285,0,79,507,459,400,173,192,89,41,11,1270,426,554,2,19,5,0,0,9,0,1633,78,146,68,47,313,1633,146,76,28,22,14,11,13,10,1,3,4,0,1,2,2,0,0,0,2,0,0,1,0,313,1615,686,686,984,292,0,0,1013,458,458,0,378,138,0,0,685,65,65,328,125
2451024-001,510,24-001,894,0,18,90,98,139,79,142,131,80,24,568,159,159,1,3,1,0,0,3,0,598,35,32,48,49,132,598,32,35,15,22,20,9,9,3,4,0,0,5,3,0,0,2,0,0,0,0,0,3,0,132,741,414,414,512,226,0,0,514,303,303,0,307,166,0,0,403,78,78,292,154
2451024-002,510,24-002,810,0,19,155,135,156,91,73,36,11,3,480,137,187,1,2,1,0,0,2,0,603,33,15,36,20,103,603,15,32,18,11,10,5,1,1,1,0,1,0,0,2,1,1,0,0,2,0,1,0,0,103,613,308,308,416,165,0,0,411,219,219,0,205,96,0,0,286,39,39,163,73
2451024-003,510,24-003,1211,0,18,159,210,230,166,149,107,45,15,735,227,236,2,5,0,0,0,6,0,964,28,25,29,33,132,964,25,28,11,12,7,6,7,2,4,2,1,1,1,2,0,0,3,0,1,0,0,0,1,132,979,542,542,706,276,0,0,719,401,401,0,414,180,0,0,559,94,94,365,174
2451024-004,510,24-004,2125,0,36,300,415,529,228,184,123,52,34,1272,405,415,1,16,2,0,0,14,0,1647,65,47,56,34,276,1647,47,65,17,9,24,6,10,4,3,3,3,1,1,2,0,0,1,0,3,0,1,0,1,276,1668,901,901,1210,440,0,0,1227,661,661,0,620,267,0,0,925,92,92,527,231
2451024-005,510,24-005,3191,0,57,372,593,806,391,323,259,94,34,1845,622,689,3,16,2,1,1,12,0,2351,101,77,119,73,470,2351,73,99,35,26,50,18,23,8,8,5,0,4,1,1,2,1,4,4,3,0,1,1,0,470,2637,1396,1396,1908,743,0,0,2000,1034,1034,0,1086,442,0,0,1546,197,197,952,427
2451025-001,510,25-001,2647,1,123,227,294,475,383,455,347,117,38,2170,152,292,3,3,2,4,0,21,0,232,68,2210,19,35,83,232,2208,67,3,22,4,5,2,2,3,1,2,3,1,0,1,1,1,2,0,0,3,0,1,83,1670,1108,1108,1238,519,0,0,1527,896,896,0,837,420,0,0,1490,266,266,914,352
